"";"p_sr";"p_mr";"p_pr";"p_ft";"p_rf";"nn"
"2923";19330,3085725516;15693,1649147598;18574,3198215642;11254,1980058178;23835,9362;-0,377699021897361
"2924";19869,7205597737;61008,8225097815;19189,0969253293;52903,2995233519;32272,1993333333;0,370215696682752
"2925";13223,9800966231;1550,37131575774;13317,7169590854;5430,53668227666;9068,66390037881;-0,915044370673179
"2926";30519,2632912425;22894,4169882014;34781,1243891618;22713,5640301003;28953,6839007238;0,3324281551905
"2927";27964,0246773278;18704,907607073;30574,2838490267;22713,5640301003;18918,1348;0,44685646559749
"2928";15187,273695393;45812,0789702227;14637,9215963159;52903,2995233519;6951,46916666667;1,18567474511658
"2929";11773,4079577196;22788,0956992125;12595,5451689593;11719,6484549964;6903,5854957138;-0,457690927440314
"2930";19895,4961108573;61930,6721784743;19219,0121844364;52903,2995233519;28049,8595641026;2,11346823380027
"2931";16013,5419022069;3221,05520198867;15304,088695771;5430,53668227666;14185,2249047646;-0,806625876893794
"2932";30519,2632912425;44039,1981692398;34781,1243891618;43289,9607364112;28953,6839007238;0,795496603608489
"2933";13558,7275132932;2521,27768576145;13515,6657538545;5430,53668227666;11566,2870342129;-0,92537936187235
"2934";18559,865076591;31030,5616152659;17734,5410112076;23880,0760361371;43289,2896;0,171913364446423
"2935";19361,0160689074;13108,2383567728;18608,7340811599;11254,1980058178;17571,9750816846;0,304286035019402
"2936";27171,789124542;15726,7323517343;29315,1701804829;22713,5640301003;28662,8010843474;0,703256729826579
"2937";14339,8048188566;-2916,76632372476;14021,505539342;5430,53668227666;13376,6852767182;-0,641644009354184
"2938";16236,7068466536;10885,2756424285;15494,7156007886;11254,1980058178;15222,1848350503;-0,278042133906777
"2939";19361,0160689074;56057,3581731189;18608,7340811599;52903,2995233519;17571,9750816846;0,326582689308637
"2940";22708,4902356079;13282,0020388635;22758,6934592063;5430,53668227666;20764,1511358199;-0,0644969638489794
"2941";19137,8511244607;14759,9213011693;18360,258625159;11254,1980058178;19208,6691816739;0,238774852018146
"2942";19361,0160689074;4923,90112526529;18608,7340811599;5430,53668227666;17571,9750816846;-0,349736642769339
"2943";25056,5648315928;17730,7563175159;26083,3994624168;11254,1980058178;20497,944;0,0984349790630002
"2944";21592,6655133744;13669,6569410833;21291,8690083808;5430,53668227666;20146,284330047;0,158269245832791
"2945";16013,5419022069;3530,63317067456;15304,088695771;5430,53668227666;14185,2249047646;-0,545251039530046
"2946";18803,1037077907;27653,8394445404;17994,6991251774;23880,0760361371;16743,3205788563;0,259445569669718
"2947";15455,6295410901;8037,96251464542;14847,3495173706;5430,53668227666;14578,1145018298;-0,59387279956595
"2948";14451,38729108;7539,59073368926;14098,7005935215;5430,53668227666;12080,7178227513;-0,646686042249623
"2949";22708,4902356079;23607,9849449042;22758,6934592063;23880,0760361371;20764,1511358199;0,59318022635098
"2950";16013,5419022069;6400,73745849915;15304,088695771;5430,53668227666;14185,2249047646;-0,587967213474284
"2951";14923,3811485848;50164,9790873881;14438,5931672972;52903,2995233519;17617,464;-0,0786161894503877
"2952";18245,1913466739;12927,1180715645;17404,9265473468;11254,1980058178;17142,5483547113;-0,422795191349178
"2953";16571,4542633237;16745,0811020369;15788,9974218802;23880,0760361371;15956,4330124585;-0,549206684551433
"2954";25819,0636555311;29063,964663933;27224,9312339501;58817,9236046746;27072,1581142857;0,852398504383697
"2955";15009,2996521967;18117,0535256611;14502,7653725892;23880,0760361371;11411,2322742927;-0,295991699484641
"2956";14897,7171799734;10439,1609018967;14419,5613205905;11254,1980058178;12518,6112335927;-0,872721947393485
"2957";16968,6878644388;37955,1132167783;16150,9904445228;23024,2258547008;15702,4284;0,100017971467483
"2958";78475,5496620988;75728,9493974205;61809,1687868378;71359,6799292585;66324,3873578;2,51788664274972
"2959";16013,5419022069;24922,7241327893;15304,088695771;23880,0760361371;14185,2249047646;-0,586877914548246
"2960";19137,8511244607;17064,5373546518;18360,258625159;11254,1980058178;19208,6691816739;0,305673863702344
"2961";13781,8924577399;8300,83594770543;13653,9636075365;5430,53668227666;10577,2828184279;-0,899647414047047
"2962";13223,9800966231;37672,5425034566;13317,7169590854;22430,5430709877;9068,66390037881;-0,357802487392128
"2963";27866,3342228962;25998,9495031033;30417,7315339088;22713,5640301003;59960,2255418953;0,394226960378492
"2964";14897,7171799734;948,160509496927;14419,5613205905;5430,53668227666;12518,6112335927;-0,624115308033382
"2965";21592,6655133744;10972,7460104823;21291,8690083808;5430,53668227666;20146,284330047;0,502792576186609
"2966";21592,6655133744;21169,1475719241;21291,8690083808;23880,0760361371;20146,284330047;0,0619549889549695
"2967";17129,3666244404;17129,3430270636;16301,2942617868;23880,0760361371;15494,3439398424;-0,209435194225558
"2968";14116,6398744099;18928,8834610665;13870,7833443876;11719,6484549964;12039,4370401003;-0,343010060388029
"2969";15481,2600349599;12988,3628688501;14867,7036320161;11254,1980058178;21281,1535;-0,343215162760244
"2970";27369,1115684218;34723,7263135994;29626,5004661799;58817,9236046746;64303,537977452;0,915435474871872
"2971";23824,3149578415;21466,8586174864;24300,6872731204;23880,0760361371;20529,3110506432;0,68845670778367
"2972";17129,3666244404;2216,320865619;16301,2942617868;5430,53668227666;15494,3439398424;-0,150073232854812
"2973";17129,3666244404;18772,5459822305;16301,2942617868;23880,0760361371;15494,3439398424;-0,104822828117474
"2974";16013,5419022069;9713,09663339145;15304,088695771;11254,1980058178;14185,2249047646;-0,293369792772555
"2975";17129,3666244404;10347,9295565709;16301,2942617868;11254,1980058178;15494,3439398424;0,130067108072657
"2976";16571,4542633237;17718,2922564456;15788,9974218802;23880,0760361371;15956,4330124585;-0,253362696234118
"2977";14897,7171799734;3621,34373055864;14419,5613205905;11254,1980058178;12518,6112335927;-0,850039949917579
"2978";21034,7531522577;20691,0039497549;20588,5988789047;23880,0760361371;23063,2227181024;0,459416069508792
"2979";12889,2326799531;6976,51940847933;13131,315782532;11254,1980058178;8759,55375769475;-0,451896184627324
"2980";19361,0160689074;13478,0400638198;18608,7340811599;11254,1980058178;17571,9750816846;-0,362209983476709
"2981";24940,139680075;11097,9456641655;25911,598978832;5430,53668227666;21495,9952811797;0,0831768168177737
"2982";19472,5985411308;7556,30396801792;18734,3837915504;5430,53668227666;14897,3537142857;-0,343178132918888
"2983";19361,0160689074;17272,9948007911;18608,7340811599;11254,1980058178;17571,9750816846;-0,088890854389082
"2984";24382,2273189582;19758,1935364064;25097,9191064572;11254,1980058178;16955,1727209653;0,484548763593022
"2985";18803,1037077907;25206,4113418907;17994,6991251774;23880,0760361371;16743,3205788563;-0,0152224169975683
"2986";24940,139680075;21879,4545174865;25911,598978832;23880,0760361371;21495,9952811797;0,750114862423829
"2987";21481,0830411511;14971,5662076212;21149,5615599128;11254,1980058178;27439,3616666667;-0,168143564066676
"2988";21592,6655133744;22836,3678529365;21291,8690083808;23880,0760361371;20146,284330047;0,532714337593733
"2989";13223,9800966231;-2388,0662244074;13317,7169590854;5430,53668227666;9068,66390037881;-0,711335413529533
"2990";16571,4542633237;28953,4281273866;15788,9974218802;23880,0760361371;15956,4330124585;0,0901203116131752
"2991";23648,8738367647;36028,2617969206;24053,5137047294;43289,9607364112;16946,4359931642;0,0118398205835064
"2992";21592,6655133744;21713,1336044231;21291,8690083808;23880,0760361371;20146,284330047;0,282436402338841
"2993";13781,8924577399;7370,74517549854;13653,9636075365;11719,6484549964;10577,2828184279;-0,686660810433165
"2994";14897,7171799734;27507,8812333094;14419,5613205905;11719,6484549964;12518,6112335927;-0,305193970599731
"2995";18803,1037077907;23758,1455077324;17994,6991251774;23880,0760361371;16743,3205788563;0,278272780108712
"2996";57474,2411062373;46703,3710461156;74636,0953685662;22713,5640301003;61154,3401097565;1,82949526903858
"2997";10713,3744715977;-604,165541660041;12212,8383693153;5430,53668227666;5630,98443333333;-0,99066930444173
"2998";17687,2789855572;4868,09266973659;16840,1977815795;5430,53668227666;18255,4273210388;-0,494085194262482
"2999";13223,9800966231;1346,63230967056;13317,7169590854;5430,53668227666;9068,66390037881;-0,695121055002057
"3000";19361,0160689074;18494,921145454;18608,7340811599;11254,1980058178;17571,9750816846;-0,342324014051898
